img1,img2,distance
..\image_labeling\data\labeled\intact\frames_312e8436c0b4_img1.jpg,..\image_labeling\data\labeled\intact\frames_312e8436c0b4_img2.jpg,4
..\image_labeling\data\labeled\intact\frames_320e88cb16e6_img1.jpg,..\image_labeling\data\labeled\intact\frames_320e88cb16e6_img2.jpg,2
..\image_labeling\data\labeled\intact\frames_320e88cb16e6_img1.jpg,..\image_labeling\data\labeled\intact\frames_320e88cb16e6_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_320e88cb16e6_img2.jpg,..\image_labeling\data\labeled\intact\frames_320e88cb16e6_img3.jpg,8
..\image_labeling\data\labeled\intact\frames_3236d2f3855a_img2.jpg,..\image_labeling\data\labeled\intact\frames_78e4f880adf7_img1.jpg,8
..\image_labeling\data\labeled\intact\frames_3236d2f3855a_img3.jpg,..\image_labeling\data\labeled\intact\frames_78e4f880adf7_img2.jpg,6
..\image_labeling\data\labeled\intact\frames_32a755c5db99_img2.jpg,..\image_labeling\data\labeled\intact\frames_32a755c5db99_img3.jpg,8
..\image_labeling\data\labeled\intact\frames_331f9f4ca592_img1.jpg,..\image_labeling\data\labeled\intact\frames_331f9f4ca592_img2.jpg,6
..\image_labeling\data\labeled\intact\frames_331f9f4ca592_img1.jpg,..\image_labeling\data\labeled\intact\frames_331f9f4ca592_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_331f9f4ca592_img2.jpg,..\image_labeling\data\labeled\intact\frames_331f9f4ca592_img3.jpg,8
..\image_labeling\data\labeled\intact\frames_336c81c9dd0f_img1.jpg,..\image_labeling\data\labeled\intact\frames_809a4ad050f0_img1.jpg,2
..\image_labeling\data\labeled\intact\frames_34b0c7b3c70a_img2.jpg,..\image_labeling\data\labeled\intact\frames_34b0c7b3c70a_img3.jpg,10
..\image_labeling\data\labeled\intact\frames_34b0c7b3c70a_img2.jpg,..\image_labeling\data\labeled\intact\frames_bd6ac615aa30_img2.jpg,10
..\image_labeling\data\labeled\intact\frames_34b0c7b3c70a_img3.jpg,..\image_labeling\data\labeled\intact\frames_bd6ac615aa30_img2.jpg,2
..\image_labeling\data\labeled\intact\frames_34b0c7b3c70a_img3.jpg,..\image_labeling\data\labeled\intact\frames_bd6ac615aa30_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_3583d3026b39_img2.jpg,..\image_labeling\data\labeled\intact\frames_3583d3026b39_img3.jpg,4
